"title","year_of_release","genre","rating","platform"
"25 to Life",2006,"Shooter","M","PS2"
"25 to Life",2006,"Shooter","M","XB"
"2Xtreme",1996,"Sports","","PS"
"3 in 1: Solitaire Mahjong & Tangram",2010,"Misc","","DS"
"300: March to Glory",2007,"Action","M","PSP"
"3D Baseball",1996,"Sports","","PS"
"3D Dot Game Heroes",2009,"Role-Playing","E10+","PS3"
"3D Lemmings",1995,"Puzzle","","PS"
"3D Tank Warfare Simulator Panzer Front",1999,"Simulation","","PS"
"3DS Classic Collection",2016,"Misc","","3DS"
"3rd Super Robot Wars Z Jigoku Hen",2014,"Role-Playing","","PS3"
"3rd Super Robot Wars Z Jigoku Hen",2014,"Role-Playing","","PSV"
"3rd Super Robot Wars Z: Tengoku-Hen",2015,"Action","","PS3"
"3rd Super Robot Wars Z: Tengoku-Hen",2015,"Action","","PSV"
"3Xtreme",1999,"Action","","PS"
"4 Elements",2009,"Puzzle","E","PC"
"4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship",2005,"Misc","","DS"
"4 Nin uchi Mahjong",1984,"Misc","","NES"
"4 Play Collection - Dark Mysteries",2014,"Misc","","PC"
"40 Winks",1999,"Platform","","PS"
"428: Fuusa Sareta Shibuya de",2009,"Adventure","","PS3"
"428: Fuusa Sareta Shibuya de",2009,"Adventure","","PSP"
"428: Fuusa Sareta Shibuya de",2008,"Adventure","","Wii"
"4x4 EVO 2",2002,"Racing","E","GC"
"4x4 EVO 2",2001,"Racing","E","XB"
"4x4 Evolution",2001,"Racing","E","PS2"
"50 Cent: Blood on the Sand",2009,"Shooter","M","PS3"
"50 Cent: Blood on the Sand",2009,"Shooter","M","X360"
"50 Cent: Bulletproof",2005,"Action","M","PS2"
"50 Cent: Bulletproof",2006,"Action","","PSP"
"50 Cent: Bulletproof",2005,"Action","M","XB"
"50 Classic Games",2012,"Misc","","3DS"
"50 Classic Games",2009,"Misc","E","DS"
"64 de Hakken! Tamagotchi Minna de Tamagotchi World",1997,"Misc","","N64"
"7'scarlet",2016,"Adventure","","PSV"
"7 Days to Die",2016,"Action","M","PS4"
"7 Days to Die",2016,"Action","M","XOne"
"7 Roses: A Darkness Rises",2015,"Misc","","PC"
"7 Wonders II",2009,"Puzzle","E","DS"
"7 Wonders of the Ancient World",2007,"Puzzle","E","DS"
"7 Wonders of the Ancient World",2007,"Puzzle","E","PSP"
"7 Wonders: Treasures of Seven",2011,"Puzzle","","DS"
"7th Dragon",2009,"Role-Playing","","DS"
"7th Dragon 2020",2011,"Role-Playing","","PSP"
"7th Dragon 2020-II",2013,"Role-Playing","","PSP"
"7th Dragon III Code: VFD",2015,"Role-Playing","T","3DS"
"99 no Namida",2008,"Adventure","","DS"
"999: Nine Hours Nine Persons Nine Doors",2009,"Adventure","","DS"
"A-Train",1995,"Simulation","","PS"
"A-Train 6",2000,"Strategy","","PS2"
"A-Train: City Simulator",2014,"Simulation","E10+","3DS"
"A Boy and His Blob",2009,"Platform","E","Wii"
"A Bug's Life",1998,"Platform","","N64"
"A Bug's Life",1998,"Platform","","PS"
"A Collection of Activision Classic Games for the Atari 2600",1998,"Misc","","PS"
"A Collection of Classic Games from the Intellivision",1999,"Misc","","PS"
"A Game of Thrones: Genesis",2011,"Strategy","","PC"
"A Good Librarian Like a Good Shepherd: Library Party",2015,"Action","","PSV"
"A llI S.V.: A Ressha de Gyoukou 3 Super Version",1995,"Simulation","","SNES"
"A New Beginning",2010,"Adventure","","PC"
"A Ressha de Gyoukou 2001",2001,"Simulation","","PS2"
"A Ressha de Ikou DS",2009,"Simulation","","DS"
"A Vampyre Story",2008,"Adventure","T","PC"
"A Witch's Tale",2009,"Role-Playing","E10+","DS"
"A. IV Evolution: A Ressha de Ikou 4",1994,"Strategy","","PS"
"A.C.E.: Another Century's Episode",2005,"Simulation","","PS2"
"A.C.E.: Another Century's Episode 2",2006,"Simulation","","PS2"
"A.C.E.: Another Century's Episode 3: The Final",2007,"Simulation","","PS2"
"A.C.E.: Another Century's Episode Portable",2011,"Simulation","","PSP"
"A.C.E.: Another Century's Episode R",2010,"Simulation","","PS3"
"Â¡Shin Chan Flipa en colores!",2007,"Platform","","DS"
"Aa Megami-samaa",2007,"Adventure","","PS2"
"ABBA: You Can Dance",2011,"Misc","E10+","Wii"
"Abunai: Koi no Sousa Shitsu",2012,"Action","","PSP"
"Abunai: Koi no Sousa Shitsu",2015,"Action","","PSV"
"AC/DC LIVE: Rock Band Track Pack",2008,"Misc","T","PS2"
"AC/DC LIVE: Rock Band Track Pack",2008,"Misc","T","PS3"
"AC/DC LIVE: Rock Band Track Pack",2008,"Misc","T","Wii"
"AC/DC LIVE: Rock Band Track Pack",2008,"Misc","T","X360"
"Academy of Champions: Soccer",2009,"Sports","E","Wii"
"Accel World: Ginyoku no Kakusei",2012,"Adventure","","PS3"
"Accel World: Ginyoku no Kakusei",2012,"Adventure","","PSP"
"Accel World: Kasoku no Chouten",2013,"Adventure","","PS3"
"Accel World: Kasoku no Chouten",2013,"Adventure","","PSP"
"Ace Attorney 6",2016,"Adventure","","3DS"
"Ace Attorney Investigations 2",2011,"Adventure","","DS"
"Ace Attorney Investigations: Miles Edgeworth",2009,"Adventure","T","DS"
"Ace Combat 04: Shattered Skies",2001,"Simulation","E","PS2"
"Ace Combat 2",1997,"Simulation","T","PS"
"Ace Combat 3: Electrosphere",1999,"Simulation","","PS"
"Ace Combat 5: The Unsung War",2004,"Simulation","T","PS2"
"Ace Combat 6: Fires of Liberation",2007,"Simulation","T","X360"
"Ace Combat X: Skies of Deception",2006,"Simulation","T","PSP"
"Ace Combat Zero: The Belkan War",2006,"Simulation","T","PS2"
"Ace Combat: Assault Horizon",2011,"Action","T","PS3"
"Ace Combat: Assault Horizon",2011,"Action","T","X360"
"Ace Combat: Assault Horizon Legacy",2011,"Simulation","T","3DS"
"Ace Combat: Joint Assault",2010,"Simulation","T","PSP"
"Achtung Panzer: Kharkov 1943",2010,"Strategy","","PC"
"Act of Aggression",2015,"Strategy","","PC"
"Action Bass",2000,"Action","E","PS"
"Action Force",1982,"Action","","2600"
"Action Man-Operation Extreme",0,"Action","","PS"
"Active Health with Carol Vorderman",2009,"Sports","","DS"
"Active Life Explorer",2010,"Sports","E","Wii"
"Active Life: Extreme Challenge",2009,"Sports","E","Wii"
"Active Life: Magical Carnival",2011,"Misc","E","Wii"
"Active Life: Outdoor Challenge",2008,"Sports","E","Wii"
"Activision Anthology",2003,"Misc","E","GBA"
"Activision Anthology",2002,"Misc","E","PS2"
"Activision Hits: Remixed",2006,"Misc","E","PSP"
"Actua Tennis",1997,"Sports","","PS"
"Adidas Power Soccer",1996,"Sports","","PS"
"Adidas Power Soccer 98",1998,"Sports","","PS"
"Adrenalin Misfits",2010,"Racing","E","X360"
"Advance Guardian Heroes",2004,"Role-Playing","E","GBA"
"Advance Wars",2001,"Strategy","E","GBA"
"Advance Wars 2: Black Hole Rising",2003,"Strategy","E","GBA"
"Advance Wars: Days of Ruin",0,"Strategy","E10+","DS"
"Advance Wars: Dual Strike",2005,"Strategy","E","DS"
"Advent Rising",2005,"Action","T","XB"
"Adventure",0,"Adventure","","2600"
"Adventure Island",1986,"Platform","","NES"
"Adventure Time: Explore the Dungeon Because I Don't Know!",2013,"Action","","3DS"
"Adventure Time: Explore the Dungeon Because I Don't Know!",2013,"Action","","PS3"
"Adventure Time: Explore the Dungeon Because I Don't Know!",2013,"Action","","WiiU"
"Adventure Time: Explore the Dungeon Because I Don't Know!",2013,"Action","","X360"
"Adventure Time: Finn & Jake Investigations",2015,"Action","","3DS"
"Beowulf: The Game",2007,"Action","M","PSP"
"Adventure Time: Finn & Jake Investigations",2015,"Action","","PS3"
"Adventure Time: Finn & Jake Investigations",2015,"Action","","PS4"
"Adventure Time: Finn & Jake Investigations",2015,"Action","","WiiU"
"Adventure Time: Finn & Jake Investigations",2015,"Action","","X360"
"Adventure Time: Finn & Jake Investigations",2015,"Action","","XOne"
"Adventure Time: The Secret of the Nameless ",2014,"Adventure","","3DS"
"Adventure Time: The Secret of the Nameless ",2014,"Adventure","","X360"
"Adventure Time: The Secret of the Nameless Kingdom",2014,"Action","E10+","3DS"
"Adventure Time: The Secret of the Nameless Kingdom",2014,"Action","E10+","X360"
"Adventures of Lolo",1989,"Puzzle","","NES"
"Adventures of Tron",1981,"Action","","2600"
"Adventures to Go!",2008,"Role-Playing","","PSP"
"Aedis Eclipse: Generation of Chaos",2006,"Role-Playing","E10+","PSP"
"Aegis of Earth: Protonovus Assault",2016,"Action","T","PS3"
"Aegis of Earth: Protonovus Assault",2016,"Action","T","PS4"
"Aegis of Earth: Protonovus Assault",2016,"Action","T","PSV"
"Aeon Flux",2005,"Action","T","PS2"
"Aeon Flux",2005,"Action","T","XB"
"Aero Elite: Combat Academy",2002,"Simulation","E","PS2"
"Aero Gauge",1997,"Racing","","N64"
"AeroFighters Assault",1997,"Action","","N64"
"Afrika",2008,"Adventure","E10+","PS3"
"Afro Samurai",2009,"Action","M","PS3"
"Afro Samurai",2009,"Action","M","X360"
"After Hours Athletes",2011,"Sports","","PS3"
"Again",2009,"Adventure","","DS"
"Agarest Senki: Re-appearance",0,"Role-Playing","","PS3"
"Agassi Tennis Generation",2003,"Sports","E","PS2"
"Agatha Christie's The ABC Murders",2016,"Adventure","T","PS4"
"Agatha Christie's The ABC Murders",2016,"Adventure","","XOne"
"Agatha Christie: And Then There Were None",2008,"Adventure","T","Wii"
"Agatha Christie: Death on the Nile",2008,"Adventure","T","PC"
"Agatha Christie: Evil Under the Sun",2008,"Adventure","T","Wii"
"Agatha Christie: Peril at End House",2009,"Adventure","T","PC"
"Agatha Christie: The ABC Murders",2009,"Adventure","T","DS"
"Agatha Christie: The ABC Murders",2016,"Adventure","","PC"
"Age of Conan: Rise of the Godslayer",2010,"Role-Playing","M","PC"
"Age of Empires II: The Age of Kings",1999,"Strategy","T","PC"
"Age of Empires III",2005,"Strategy","T","PC"
"Age of Empires III: Complete Collection",2009,"Strategy","T","PC"
"Age of Empires III: Gold Edition",2007,"Strategy","T","PC"
"Age of Empires III: The Asian Dynasties",2007,"Strategy","T","PC"
"Age of Empires Online",2011,"Strategy","E10+","PC"
"Age of Empires: Collector's Edition",2000,"Strategy","T","PC"
"Age of Empires: Mythologies",2008,"Strategy","E10+","DS"
"Age of Empires: The Age of Kings",2006,"Strategy","E10+","DS"
"Age of Mythology",2002,"Strategy","T","PC"
"Age of Mythology: The Titans",2003,"Strategy","T","PC"
"Aggressive Inline",2002,"Sports","T","GC"
"Aggressive Inline",2002,"Sports","T","PS2"
"Aggressive Inline",2002,"Sports","T","XB"
"Agile Warrior F-111X",1995,"Simulation","","PS"
"Aibou DS",2009,"Adventure","","DS"
"Aidyn Chronicles: The First Mage",2001,"Role-Playing","","N64"
"Aikatsu Stars! My Special Appeal",2016,"Action","","3DS"
"Aikatsu! 2-nin no My Princess",2013,"Action","","3DS"
"Aikatsu! 365 Idol Days",2014,"Adventure","","3DS"
"Aikatsu! Cinderella Lesson",2012,"Role-Playing","","3DS"
"Aikatsu! My No.1 Stage!",2015,"Misc","","3DS"
"Ailu de Puzzle",2012,"Action","","PSP"
"AIR",2007,"Adventure","","PSP"
"Air-Sea Battle",0,"Shooter","","2600"
"Air Combat",1995,"Simulation","","PS"
"Air Conflicts: Aces of World War II",2009,"Simulation","T","PSP"
"Air Conflicts: Secret Wars",2011,"Simulation","T","PC"
"Air Conflicts: Secret Wars",2011,"Simulation","T","PS3"
"Air Conflicts: Secret Wars",2011,"Simulation","T","X360"
"Air Raid",1981,"Action","","2600"
"Air Traffic Chaos",2007,"Simulation","E","DS"
"Airblade",2001,"Sports","T","PS2"
"Airborne Troops: Countdown to D-Day",2005,"Shooter","T","PS2"
"AirForce Delta Storm",2002,"Shooter","E","GBA"
"AirForce Delta Storm",2001,"Shooter","E","XB"
"AirForce Delta Strike",2004,"Simulation","T","PS2"
"Airline Tycoon",2000,"Simulation","E","PC"
"Airline Tycoon 2",2011,"Simulation","E","PC"
"Airlock",1981,"Action","","2600"
"Airport Simulator",2011,"Simulation","","PC"
"Airship Q",2015,"Platform","","PSV"
"Aiyoku no Eustia",2014,"Misc","","PSV"
"Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin",2008,"Adventure","","DS"
"Akai Ito DS",2008,"Adventure","","DS"
"Akai Katana Shin",2011,"Shooter","","X360"
"Akane Iro ni Somaru Saka Parallel",2008,"Adventure","","PS2"
"Akatsuki no Amaneka to Aoi Kyojin",2010,"Strategy","","PSP"
"Akatsuki no Goei Trinity",2012,"Adventure","","PS3"
"Akatsuki no Goei Trinity",2012,"Adventure","","PSP"
"AKB1/149: Love Election",2013,"Adventure","","PS3"
"AKB1/149: Love Election",2012,"Adventure","","PSP"
"AKB1/149: Love Election",2012,"Adventure","","PSV"
"AKB1/48: Idol to Guam de Koishitara...",2011,"Misc","","PSP"
"AKB1/48: Idol to Guam de Koishitara...",0,"Misc","","X360"
"AKB1/48: Idol to Koishitara...",2010,"Misc","","PSP"
"AKB48+Me",2012,"Action","","3DS"
"Akiba's Trip",2011,"Adventure","","PSP"
"Akiba's Trip Plus",2012,"Adventure","","PSP"
"Akiba's Trip: Undead & Undressed",2013,"Action","","PS3"
"Akiba's Trip: Undead & Undressed",2014,"Action","","PS4"
"Akiba's Trip: Undead & Undressed",2013,"Action","","PSV"
"Akko ni Omakase! Brain Shock",2006,"Misc","","DS"
"Akuji the Heartless",1998,"Platform","","PS"
"Aladdin Magic Racer",2011,"Racing","E","Wii"
"Alan Wake",2012,"Action","T","PC"
"Alan Wake",2010,"Action","T","X360"
"Alex Rider: Stormbreaker",0,"Action","T","DS"
"Alexi Lalas International Soccer",1998,"Sports","","PS"
"Alfa Romeo Racing Italiano",2005,"Racing","E","PS2"
"Alia's Carnival! Sacrament",2015,"Adventure","","PSV"
"Alias",2004,"Action","T","PS2"
"Alias",2004,"Action","T","XB"
"Alice in Wonderland",2010,"Adventure","E10+","DS"
"Alice in Wonderland",2010,"Adventure","E10+","Wii"
"Alice: Madness Returns",2011,"Adventure","M","PC"
"Alice: Madness Returns",2011,"Adventure","M","PS3"
"Alice: Madness Returns",2011,"Adventure","M","X360"
"Alien",1981,"Action","","2600"
"Alien's Return",1982,"Action","","2600"
"Alien Breed Trilogy",2011,"Shooter","","X360"
"Alien Hominid",2004,"Shooter","T","GC"
"Alien Hominid",2004,"Shooter","T","PS2"
"Alien Monster Bowling League",2009,"Sports","E10+","Wii"
"Alien Resurrection",2000,"Shooter","M","PS"
"Alien Syndrome",2007,"Role-Playing","T","PSP"
"Alien Syndrome",2007,"Role-Playing","T","Wii"
"Alien Trilogy",1996,"Shooter","","PS"
"Alien: Isolation",2014,"Shooter","M","PC"
"Alien: Isolation",2014,"Shooter","M","PS3"
"Alien: Isolation",2014,"Shooter","M","PS4"
"Alien: Isolation",2014,"Shooter","M","X360"
"Alien: Isolation",2014,"Shooter","M","XOne"
"Alienators: Evolution Continues",2001,"Action","E","GBA"
"Aliens in the Attic",2009,"Action","E10+","DS"
"Aliens in the Attic",2009,"Action","E10+","Wii"
"Aliens versus Predator: Extinction",2003,"Strategy","T","PS2"
"Aliens versus Predator: Extinction",2003,"Strategy","T","XB"
"Aliens vs Predator",2010,"Shooter","M","PC"
"Aliens vs Predator",2010,"Shooter","M","PS3"
"Aliens vs Predator",2010,"Shooter","M","X360"
"Aliens vs Predator: Requiem",2007,"Action","T","PSP"
"Aliens: Colonial Marines",2013,"Shooter","M","PC"
"Aliens: Colonial Marines",2013,"Shooter","M","PS3"
"Aliens: Colonial Marines",2013,"Shooter","M","X360"
"Aliens: Infestation",2011,"Action","T","DS"
"All-Pro Football 2K8",2007,"Sports","E10+","PS3"
"All-Pro Football 2K8",2007,"Sports","E10+","X360"
"All-Star Baseball 2000",1999,"Sports","","N64"
"All-Star Baseball 2001",2000,"Sports","","N64"
"All-Star Baseball 2002",2001,"Sports","E","GC"
"All-Star Baseball 2002",2001,"Sports","E","PS2"
"All-Star Baseball 2003",2002,"Sports","E","GBA"
"All-Star Baseball 2003",2002,"Sports","E","GC"
"All-Star Baseball 2003",2002,"Sports","E","PS2"
"All-Star Baseball 2003",2002,"Sports","E","XB"
"All-Star Baseball 2004",2003,"Sports","","GBA"
"All-Star Baseball 2004",2003,"Sports","E","GC"
"All-Star Baseball 2004",2003,"Sports","E","PS2"
"All-Star Baseball 2004",2003,"Sports","E","XB"
"All-Star Baseball 2005",0,"Sports","E","PS2"
"All-Star Baseball 2005",0,"Sports","E","XB"
"All-Star Baseball 99",1998,"Sports","","N64"
"All Grown Up! Express Yourself",2004,"Misc","","GBA"
"All Grown Up!: Game Boy Advance Video Volume 1",2004,"Misc","","GBA"
"All Japan Pro Wrestling featuring Virtua",1997,"Fighting","","SAT"
"All Kamen Rider: Rider Generation",2011,"Action","","DS"
"All Kamen Rider: Rider Generation 2",2012,"Action","","DS"
"All Kamen Rider: Rider Generation 2",2012,"Action","","PSP"
"All Points Bulletin",2010,"Role-Playing","","PC"
"All Star Cheer Squad",2008,"Sports","E","DS"
"All Star Cheer Squad",2008,"Sports","E","Wii"
"All Star Cheer Squad 2",2009,"Sports","E","Wii"
"All Star Karate",2010,"Action","E10+","Wii"
"All Star Pro-Wrestling",2000,"Fighting","","PS2"
"All Star Tennis 99",1999,"Sports","","N64"
"Alleyway",1989,"Puzzle","","GB"
"Allied General",1996,"Strategy","","PS"
"Alone in the Dark",2008,"Adventure","M","PC"
"Alone in the Dark",2008,"Adventure","M","PS2"
"Alone in the Dark",2008,"Adventure","M","Wii"
"Alone in the Dark",2008,"Adventure","M","X360"
"Alone in the Dark: Inferno",2008,"Adventure","M","PS3"
"Alone in the Dark: One-Eyed Jack's Revenge",1996,"Adventure","","PS"
"Alone in the Dark: The New Nightmare",0,"Adventure","M","PS"
"Alpha and Omega",2010,"Action","E","DS"
"Alpha Protocol",2010,"Role-Playing","M","PC"
"Alpha Protocol",2010,"Role-Playing","M","PS3"
"Alpha Protocol",2010,"Role-Playing","M","X360"
"Alter Echo",2003,"Shooter","T","PS2"
"Alter Echo",2003,"Shooter","T","XB"
"Alter Ego",1985,"Simulation","T","PC"
"Altered Beast: Guardian of the Realms",2002,"Action","T","GBA"
"Alundra",1997,"Role-Playing","T","PS"
"Alundra 2: A New Legend Begins",1999,"Role-Playing","","PS"
"Alvin and the Chipmunks",2007,"Misc","E","DS"
"Alvin and the Chipmunks",2007,"Misc","E","PS2"
"Alvin and the Chipmunks",2007,"Misc","E","Wii"
"Alvin and the Chipmunks: Chipwrecked",2011,"Misc","E10+","DS"
"Alvin and the Chipmunks: Chipwrecked",2011,"Misc","E10+","Wii"
"Alvin and the Chipmunks: Chipwrecked",2011,"Misc","E10+","X360"
"Alvin and the Chipmunks: The Squeakquel",2009,"Misc","E","DS"
"Alvin and the Chipmunks: The Squeakquel",2009,"Misc","E","Wii"
"Amagami",2009,"Adventure","","PS2"
"Amagami",2011,"Adventure","","PSP"
"Amagami",2014,"Adventure","","PSV"
"Amagoushi no Yakata",2007,"Adventure","","PS2"
"Amatsumi Sora ni! Kumo no Hatate ni",2015,"Adventure","","PSV"
"Amazing Adventures: The Forgotten Ruins",2008,"Adventure","E","DS"
"Amazing Island",2004,"Strategy","E","GC"
"America's Army: Rise of a Soldier",2005,"Shooter","T","XB"
"America's Army: True Soldiers",2007,"Shooter","T","X360"
"America's Next Top Model",2008,"Action","E10+","DS"
"America's Next Top Model",2010,"Action","E10+","Wii"
"America's Test Kitchen: Let's Get Cooking",2010,"Simulation","E","DS"
"America Oudan Ultra-Quiz",1995,"Misc","","SAT"
"American Bass Challenge",2001,"Sports","E","GBA"
"American Chopper",2004,"Racing","T","PS2"
"American Chopper",2004,"Racing","T","XB"
"American Chopper 2: Full Throttle",2005,"Racing","T","GC"
"American Chopper 2: Full Throttle",2005,"Racing","T","PS2"
"American Chopper 2: Full Throttle",2005,"Racing","T","XB"
"American Girl: Julie Finds a Way",2007,"Adventure","E","DS"
"American Girl: Kit Mystery Challenge!",2008,"Adventure","E","DS"
"American Idol",2003,"Misc","E","GBA"
"American Idol",2003,"Misc","E","PS2"
"AMF Bowling 2004",2003,"Sports","","XB"
"AMF Bowling Pinbusters!",2008,"Sports","","DS"
"AMF Bowling Pinbusters!",2007,"Sports","","Wii"
"AMF Bowling World Lanes",2008,"Sports","E","Wii"
"AMF Xtreme Bowling",2006,"Sports","E","PS2"
"Amnesia",2011,"Adventure","","PSP"
"Amnesia Crowd",2013,"Misc","","PSP"
"Amnesia Later",2012,"Misc","","PSP"
"Amnesia Later",2014,"Misc","","PSV"
"AMNESIA World",2014,"Adventure","","PSV"
"Amped 2",2003,"Sports","E","XB"
"Amped 3",2005,"Sports","T","X360"
"Amped: Freestyle Snowboarding",2001,"Sports","E","XB"
"Amplitude",2003,"Misc","T","PS2"
"An American Tail: Fievel's Gold Rush",2002,"Platform","","GBA"
"Anarchy Reigns",2012,"Action","M","PS3"
"Anarchy Reigns",2012,"Action","M","X360"
"And1 Streetball",2006,"Action","","PS2"
"And1 Streetball",2006,"Action","","XB"
"Andretti Racing",1996,"Racing","","PS"
"Angel Blade: Neo Tokyo Guardians",1997,"Role-Playing","","PS"
"Angelique Duet",1998,"Strategy","","PS"
"Angelique Retour",2015,"Action","","PSV"
"Angelique Trois",2000,"Adventure","","PS2"
"Angelique: Maren no Rokukishi",2011,"Adventure","","PSP"
"Angler's Club: Ultimate Bass Fishing 3D",2011,"Sports","E","3DS"
"Angry Birds",2011,"Puzzle","E","PC"
"Angry Birds Star Wars",2013,"Strategy","E","3DS"
"Angry Birds Star Wars",2013,"Strategy","E","PS3"
"Angry Birds Star Wars",2013,"Strategy","E","PS4"
"Angry Birds Star Wars",2013,"Strategy","E","PSV"
"Angry Birds Star Wars",2013,"Strategy","E","Wii"
"Angry Birds Star Wars",2013,"Strategy","E","WiiU"
"Angry Birds Star Wars",2013,"Strategy","E","X360"
"Angry Birds Star Wars",2013,"Strategy","E","XOne"
"Angry Birds Trilogy",2012,"Action","E","3DS"
"Angry Birds Trilogy",2012,"Action","E","PS3"
"Angry Birds Trilogy",2012,"Action","E","X360"
"Angry Birds: Rio",2011,"Puzzle","E","PC"
"Anima - Gate of Memories",2016,"Action","T","PS4"
"Animal Crossing",2001,"Simulation","E","GC"
"Animal Crossing: Amiibo Festival",2015,"Misc","E","WiiU"
"Animal Crossing: City Folk",2008,"Simulation","E","Wii"
"Animal Crossing: Happy Home Designer",2015,"Simulation","E","3DS"
"Animal Crossing: New Leaf",2012,"Simulation","E","3DS"
"Animal Crossing: Wild World",2005,"Simulation","E","DS"
"Animal Genius",2007,"Puzzle","E","DS"
"Animal Kingdom: Wildlife Expedition",2009,"Adventure","E","Wii"
